Fecha y hora,Temperatura (°C),Humedad (%),Fertilidad,Altura GPS (m),Altura Lidar (m),Altitud (mm),Latitud (°),Longitud (°)
2025-08-26 19:13:24,29.60,59.60,0.000000,0.000000,-17000.00,3.43,0.000000,nan,Infértil
2025-08-26 19:13:43,29.60,59.60,0.000000,0.000000,-17000.00,4.64,0.000000,nan,Infértil
2025-08-26 19:13:50,29.60,59.60,0.000000,0.000000,-17000.00,3.82,0.011092,43.089514,Infértil
2025-08-26 19:13:57,29.60,59.60,0.000000,0.000000,-17000.00,4.48,0.009790,46.264851,Infértil
2025-08-26 19:14:04,29.60,59.60,0.000000,0.000000,-17000.00,4.88,0.007475,45.998735,Infértil
2025-08-26 19:14:18,29.60,59.70,0.000000,0.000000,-17000.00,3.33,0.011140,46.600458,Infértil
2025-08-26 19:14:25,29.60,59.80,0.000000,0.000000,-17000.00,7.15,0.015914,45.093286,Infértil
2025-08-26 19:14:32,29.60,59.70,0.000000,0.000000,-17000.00,4.05,0.010947,48.209381,Infértil
2025-08-26 19:14:39,29.60,59.70,0.000000,0.000000,-17000.00,4.68,0.011092,46.044331,Infértil
2025-08-26 19:14:46,29.60,59.60,0.000000,0.000000,-17000.00,3.32,0.009838,46.186082,Infértil
2025-08-26 19:14:53,29.60,59.60,0.000000,0.000000,-17000.00,4.92,0.010176,46.088653,Infértil
2025-08-26 19:15:00,29.60,59.60,0.000000,0.000000,-17000.00,3.17,0.010561,44.324470,Infértil
2025-08-26 19:15:07,29.60,59.60,0.000000,0.000000,-17000.00,3.72,0.012587,44.717902,Infértil
2025-08-26 19:15:14,29.60,59.60,0.000000,0.000000,-17000.00,5.25,0.010899,49.855978,Infértil
2025-08-26 19:15:21,29.50,59.60,0.000000,0.000000,-17000.00,3.38,0.014130,45.342970,Infértil
2025-08-26 19:15:28,29.50,59.60,0.000000,0.000000,-17000.00,4.27,0.009018,47.585195,Infértil
2025-08-26 19:15:35,29.50,59.70,0.000000,0.000000,-17000.00,0.00,0.009066,47.717981,Infértil
2025-08-26 19:15:42,29.40,59.70,0.000000,0.000000,-17000.00,5.27,0.012828,45.782102,Infértil
2025-08-26 19:15:49,29.40,59.80,0.000000,0.000000,-17000.00,4.47,0.011188,45.469912,Infértil
2025-08-26 19:15:56,29.30,59.70,0.000000,0.000000,-17000.00,0.00,0.010947,44.158245,Infértil
2025-08-26 19:16:03,29.30,59.80,0.000000,0.000000,-17000.00,3.18,0.015143,43.716748,Infértil
2025-08-26 19:16:10,29.30,59.80,0.000000,0.000000,-17000.00,3.36,0.009066,49.810179,Infértil
2025-08-26 19:16:17,29.20,59.80,0.000000,0.000000,-17000.00,0.00,0.010320,45.314275,Infértil
2025-08-26 19:16:24,29.30,59.90,0.000000,0.000000,-17000.00,5.22,0.013792,43.822844,Infértil
2025-08-26 19:16:31,29.30,60.00,0.000000,0.000000,-17000.00,3.38,0.012635,45.318066,Infértil
2025-08-26 19:16:38,29.30,60.00,0.000000,0.000000,-17000.00,3.34,0.013455,49.524211,Infértil
2025-08-26 19:16:45,29.30,60.00,0.000000,0.000000,-17000.00,3.83,0.009452,47.452981,Infértil
2025-08-26 19:16:52,29.40,60.00,0.000000,0.000000,-17000.00,4.00,0.012683,46.541415,Infértil
2025-08-26 19:16:59,29.40,60.00,0.000000,0.000000,-17000.00,0.00,0.010706,48.025084,Infértil
2025-08-26 19:17:06,29.40,60.00,0.000000,0.000000,-17000.00,4.75,0.010224,46.052534,Infértil
2025-08-26 19:17:13,29.30,59.90,0.000000,0.000000,-17000.00,5.59,0.009886,47.475849,Infértil
2025-08-26 19:17:20,29.30,60.00,0.000000,0.000000,-17000.00,0.00,0.013600,48.157419,Infértil
2025-08-26 19:17:27,29.30,59.90,0.000000,0.000000,-17000.00,3.15,0.013117,43.252595,Infértil
2025-08-26 19:17:34,29.30,60.00,0.000000,0.000000,-17000.00,4.45,0.012828,48.692319,Infértil
2025-08-26 19:18:02,29.40,60.00,0.000000,0.000000,-17000.00,5.96,0.008825,45.863067,Infértil
2025-08-26 19:18:09,29.30,60.00,0.000000,0.000000,-17000.00,6.53,0.011285,44.057315,Infértil
2025-08-26 19:18:16,29.30,60.00,0.000000,0.000000,-17000.00,3.39,0.012490,44.633205,Infértil
2025-08-26 19:18:23,29.30,60.00,0.000000,0.000000,-17000.00,3.86,0.016782,44.592067,Infértil
2025-08-26 19:18:30,29.30,60.00,0.000000,0.000000,-17000.00,4.57,0.014371,44.758521,Infértil
